,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
136,"Too Good At Goodbyes","Sam Smith",677775,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
137,"Space Cadet (feat. Gunna)","Metro Boomin",674069,https://open.spotify.com/track/5gub2bpJRgJP4m4MliqtdV
138,"XO TOUR Llif3","Lil Uzi Vert",668482,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
139,"Happy Now",Zedd,667749,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
140,"There's No Way (feat. Julia Michaels)",Lauv,665498,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
141,Closer,"The Chainsmokers",664206,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
142,"Say My Name","David Guetta",662202,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
143,"I'm a Mess","Bebe Rexha",652320,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
144,bellyache,"Billie Eilish",646518,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
145,"Praise The Lord (Da Shine)","A$AP Rocky",645769,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
146,"Empty Space","James Arthur",645716,https://open.spotify.com/track/1uru26I2JKd2mQZt0MDCUe
147,Celoso,"Lele Pons",643931,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
148,"We Are The Champions - Remastered 2011",Queen,637729,https://open.spotify.com/track/1lCRw5FEZ1gPDNPzy1K4zW
149,"Rockin' Around The Christmas Tree - Single Version","Brenda Lee",637455,https://open.spotify.com/track/1XBc4r6ltXjkFJBrsttwIF
150,PPP,"Kevin Roldan",637453,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
151,"Look At Me!",XXXTENTACION,635609,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
152,"1400 / 999 Freestyle","Trippie Redd",635392,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R
153,Congratulations,"Post Malone",632160,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
154,"It's Beginning To Look A Lot Like Christmas","Michael Bublé",626511,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
155,"Look Alive (feat. Drake)","BlocBoy JB",622994,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
156,"Love Lies (with Normani)",Khalid,621594,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
157,"Venom - Music From The Motion Picture",Eminem,618503,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
158,"Lean Wit Me","Juice WRLD",614766,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
159,"Nice For What",Drake,613595,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
160,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",608199,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
161,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",603556,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
162,Hipócrita,"Anuel Aa",601434,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
163,Photograph,"Ed Sheeran",599563,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
164,"Thinking Out Loud","Ed Sheeran",599255,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
165,STARGAZING,"Travis Scott",598921,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
166,"No Brainer","DJ Khaled",596064,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
167,"Está Rico","Marc Anthony",593908,https://open.spotify.com/track/2wRkBumdItthjYP9XknImg
168,"you should see me in a crown","Billie Eilish",591866,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
169,Clandestino,Shakira,588339,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
170,Happier,"Ed Sheeran",587929,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
171,goosebumps,"Travis Scott",584379,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
172,"Born To Be Yours",Kygo,584345,https://open.spotify.com/track/4M3FO0ji6Lc8vwD1sgf1nc
173,Créeme,"Karol G",583750,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
174,"No Me Acuerdo",Thalía,583250,https://open.spotify.com/track/1G586ld1gbaECg4Bc6w40O
175,Mistletoe,"Justin Bieber",577428,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
176,"Crazy Little Thing Called Love - Remastered 2011",Queen,576469,https://open.spotify.com/track/6xdLJrVj4vIXwhuG8TMopk
177,"Atrasadinha - Ao Vivo","Felipe Araújo",567420,https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb
178,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,563943,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
179,"In My Blood","Shawn Mendes",563612,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
180,"Ocean (feat. Khalid)","Martin Garrix",563183,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
181,"Wonderwall - Remastered",Oasis,560265,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
182,"Diamond Heart","Alan Walker",557291,https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT
183,Africa,Toto,557103,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
184,"Something Just Like This","The Chainsmokers",552696,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
185,"Young Dumb & Broke",Khalid,550279,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
186,"Radio Ga Ga - Live Aid",Queen,549605,https://open.spotify.com/track/0YwBZKT8JE4U5TwmYE9BV9
187,Trip,"Ella Mai",548319,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA
188,HUMBLE.,"Kendrick Lamar",543177,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
189,"What Lovers Do","Maroon 5",543123,https://open.spotify.com/track/0WdGQhoAP2LBsqr5Jhit2g
190,"Hurts Like Hell (feat. Offset)","Madison Beer",543042,https://open.spotify.com/track/3WefHNGtjexZvi66ZEx9u4
191,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,540569,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
192,"Ric Flair Drip (& Metro Boomin)",Offset,536713,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
193,Polaroid,"Jonas Blue",535256,https://open.spotify.com/track/6XqvFyJGdUD5IWee02ARKU
194,"I'm Yours","Jason Mraz",531494,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
195,Silence,Marshmello,531000,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
196,"Jingle Bell Rock","Bobby Helms",530182,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
197,"New Patek","Lil Uzi Vert",529310,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
198,"I Want To Break Free - Single Remix",Queen,529091,https://open.spotify.com/track/2AkmdLbVKS1steeZdy8H1l
199,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,528855,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
200,"Walk It Talk It",Migos,524117,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
